Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/P18-1001.pdf,P18-1001,https://vimeo.com/285807777,/anthology/P18-1001.bib,,https://www.aclweb.org/anthology/attachments/P18-1001.Presentation.pdf
https://www.aclweb.org/anthology/P18-1002.pdf,P18-1002,https://vimeo.com/285807785,/anthology/P18-1002.bib,,https://www.aclweb.org/anthology/attachments/P18-1002.Presentation.pdf
https://www.aclweb.org/anthology/P18-1003.pdf,P18-1003,https://vimeo.com/285807793,/anthology/P18-1003.bib,,
https://www.aclweb.org/anthology/P18-1004.pdf,P18-1004,https://vimeo.com/285807800,/anthology/P18-1004.bib,,https://www.aclweb.org/anthology/attachments/P18-1004.Presentation.pdf
https://www.aclweb.org/anthology/P18-1005.pdf,P18-1005,https://vimeo.com/285807811,/anthology/P18-1005.bib,https://www.aclweb.org/anthology/attachments/P18-1005.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1005.Presentation.pdf
https://www.aclweb.org/anthology/P18-1006.pdf,P18-1006,https://vimeo.com/285807823,/anthology/P18-1006.bib,,
https://www.aclweb.org/anthology/P18-1007.pdf,P18-1007,https://vimeo.com/285807834,/anthology/P18-1007.bib,,
https://www.aclweb.org/anthology/P18-1008.pdf,P18-1008,https://vimeo.com/285807844,/anthology/P18-1008.bib,https://www.aclweb.org/anthology/attachments/P18-1008.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1008.Presentation.pdf
https://www.aclweb.org/anthology/P18-1009.pdf,P18-1009,https://vimeo.com/285807855,/anthology/P18-1009.bib,,https://www.aclweb.org/anthology/attachments/P18-1009.Presentation.pdf
https://www.aclweb.org/anthology/P18-1010.pdf,P18-1010,https://vimeo.com/285807860,/anthology/P18-1010.bib,https://www.aclweb.org/anthology/attachments/P18-1010.Notes.pdf,
https://www.aclweb.org/anthology/P18-1011.pdf,P18-1011,https://vimeo.com/285807879,/anthology/P18-1011.bib,https://www.aclweb.org/anthology/attachments/P18-1011.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1011.Presentation.pdf
https://www.aclweb.org/anthology/P18-1012.pdf,P18-1012,https://vimeo.com/285807892,/anthology/P18-1012.bib,https://www.aclweb.org/anthology/attachments/P18-1012.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1012.Presentation.pdf
https://www.aclweb.org/anthology/P18-1013.pdf,P18-1013,https://vimeo.com/285800568,/anthology/P18-1013.bib,https://www.aclweb.org/anthology/attachments/P18-1013.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1013.Presentation.pdf
https://www.aclweb.org/anthology/P18-1014.pdf,P18-1014,https://vimeo.com/285800574,/anthology/P18-1014.bib,,
https://www.aclweb.org/anthology/P18-1015.pdf,P18-1015,https://vimeo.com/285800584,/anthology/P18-1015.bib,,https://www.aclweb.org/anthology/attachments/P18-1015.Presentation.pdf
https://www.aclweb.org/anthology/P18-1016.pdf,P18-1016,https://vimeo.com/285800596,/anthology/P18-1016.bib,,https://www.aclweb.org/anthology/attachments/P18-1016.Presentation.pdf
https://www.aclweb.org/anthology/P18-1017.pdf,P18-1017,https://vimeo.com/285800613,/anthology/P18-1017.bib,,https://www.aclweb.org/anthology/attachments/P18-1017.Presentation.pdf
https://www.aclweb.org/anthology/P18-1018.pdf,P18-1018,https://vimeo.com/285800624,/anthology/P18-1018.bib,https://www.aclweb.org/anthology/attachments/P18-1018.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1018.Presentation.pdf
https://www.aclweb.org/anthology/P18-1019.pdf,P18-1019,https://vimeo.com/285800638,/anthology/P18-1019.bib,https://www.aclweb.org/anthology/attachments/P18-1019.Notes.pdf,
https://www.aclweb.org/anthology/P18-1020.pdf,P18-1020,https://vimeo.com/285800644,/anthology/P18-1020.bib,,
https://www.aclweb.org/anthology/P18-1021.pdf,P18-1021,https://vimeo.com/285800652,/anthology/P18-1021.bib,https://www.aclweb.org/anthology/attachments/P18-1021.Notes.pdf,https://www.aclweb.org/anthology/attachments/P18-1021.Presentation.pdf
https://www.aclweb.org/anthology/P18-1022.pdf,P18-1022,https://vimeo.com/285800660,/anthology/P18-1022.bib,,https://www.aclweb.org/anthology/attachments/P18-1022.Presentation.pdf
https://www.aclweb.org/anthology/P18-1023.pdf,P18-1023,https://vimeo.com/285800671,/anthology/P18-1023.bib,https://www.aclweb.org/anthology/attachments/P18-1023.Notes.pdf,
https://www.aclweb.org/anthology/P18-1068.pdf,P18-1068,https://vimeo.com/285800848,/anthology/P18-1068.bib,,https://www.aclweb.org/anthology/attachments/P18-1068.Presentation.pdf
https://www.aclweb.org/anthology/P18-1070.pdf,P18-1070,https://vimeo.com/285800885,/anthology/P18-1070.bib,https://www.aclweb.org/anthology/attachments/P18-1070.Notes.pdf,
https://www.aclweb.org/anthology/P18-1071.pdf,P18-1071,https://vimeo.com/285800915,/anthology/P18-1071.bib,,https://www.aclweb.org/anthology/attachments/P18-1071.Presentation.pdf
https://www.aclweb.org/anthology/P18-1072.pdf,P18-1072,https://vimeo.com/285800939,/anthology/P18-1072.bib,,https://www.aclweb.org/anthology/attachments/P18-1072.Presentation.pdf
https://www.aclweb.org/anthology/P18-1073.pdf,P18-1073,https://vimeo.com/285800964,/anthology/P18-1073.bib,,https://www.aclweb.org/anthology/attachments/P18-1073.Presentation.pdf
https://www.aclweb.org/anthology/P18-1074.pdf,P18-1074,https://vimeo.com/285800977,/anthology/P18-1074.bib,,https://www.aclweb.org/anthology/attachments/P18-1074.Presentation.pdf
https://www.aclweb.org/anthology/P18-1075.pdf,P18-1075,https://vimeo.com/285800996,/anthology/P18-1075.bib,,https://www.aclweb.org/anthology/attachments/P18-1075.Presentation.pdf
https://www.aclweb.org/anthology/P18-1076.pdf,P18-1076,https://vimeo.com/285801014,/anthology/P18-1076.bib,https://www.aclweb.org/anthology/attachments/P18-1076.Notes.pdf,
https://www.aclweb.org/anthology/P18-1077.pdf,P18-1077,https://vimeo.com/285801036,/anthology/P18-1077.bib,,
https://www.aclweb.org/anthology/P18-1078.pdf,P18-1078,https://vimeo.com/285801068,/anthology/P18-1078.bib,,https://www.aclweb.org/anthology/attachments/P18-1078.Presentation.pdf
