Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/P19-1002.pdf,P19-1002,https://vimeo.com/383950369,/anthology/P19-1002.bib,,
https://www.aclweb.org/anthology/P19-1003.pdf,P19-1003,https://vimeo.com/383951307,/anthology/P19-1003.bib,,
https://www.aclweb.org/anthology/P19-1004.pdf,P19-1004,https://vimeo.com/383952222,/anthology/P19-1004.bib,,
https://www.aclweb.org/anthology/P19-1005.pdf,P19-1005,https://vimeo.com/383953490,/anthology/P19-1005.bib,,
https://www.aclweb.org/anthology/P19-1006.pdf,P19-1006,https://vimeo.com/383954001,/anthology/P19-1006.bib,,
https://www.aclweb.org/anthology/P19-1007.pdf,P19-1007,https://vimeo.com/383955994,/anthology/P19-1007.bib,,
https://www.aclweb.org/anthology/P19-1008.pdf,P19-1008,https://vimeo.com/383956764,/anthology/P19-1008.bib,,
https://www.aclweb.org/anthology/P19-1009.pdf,P19-1009,https://vimeo.com/383957151,/anthology/P19-1009.bib,,
https://www.aclweb.org/anthology/P19-1010.pdf,P19-1010,https://vimeo.com/383957851,/anthology/P19-1010.bib,,
https://www.aclweb.org/anthology/P19-1011.pdf,P19-1011,https://vimeo.com/383958512,/anthology/P19-1011.bib,,
https://www.aclweb.org/anthology/P19-1012.pdf,P19-1012,https://vimeo.com/383962400,/anthology/P19-1012.bib,,
https://www.aclweb.org/anthology/P19-1013.pdf,P19-1013,https://vimeo.com/384533162,/anthology/P19-1013.bib,,
https://www.aclweb.org/anthology/P19-1014.pdf,P19-1014,https://vimeo.com/383963629,/anthology/P19-1014.bib,,
https://www.aclweb.org/anthology/P19-1015.pdf,P19-1015,https://vimeo.com/383964108,/anthology/P19-1015.bib,https://www.aclweb.org/anthology/attachments/P19-1015.Supplementary.pdf,https://www.aclweb.org/anthology/attachments/P19-1015.Presentation.pdf
https://www.aclweb.org/anthology/P19-1016.pdf,P19-1016,https://vimeo.com/383964668,/anthology/P19-1016.bib,,
https://www.aclweb.org/anthology/P19-1017.pdf,P19-1017,https://vimeo.com/383965045,/anthology/P19-1017.bib,https://www.aclweb.org/anthology/attachments/P19-1017.Supplementary.pdf,
https://www.aclweb.org/anthology/P19-1018.pdf,P19-1018,https://vimeo.com/383965582,/anthology/P19-1018.bib,https://www.aclweb.org/anthology/attachments/P19-1018.Supplementary.pdf,
https://www.aclweb.org/anthology/P19-1019.pdf,P19-1019,https://vimeo.com/383966926,/anthology/P19-1019.bib,,
https://www.aclweb.org/anthology/P19-1020.pdf,P19-1020,https://vimeo.com/383968561,/anthology/P19-1020.bib,https://www.aclweb.org/anthology/attachments/P19-1020.Supplementary.pdf,
https://www.aclweb.org/anthology/P19-1021.pdf,P19-1021,https://vimeo.com/383989760,/anthology/P19-1021.bib,,
https://www.aclweb.org/anthology/P19-1022.pdf,P19-1022,https://vimeo.com/383990540,/anthology/P19-1022.bib,,
https://www.aclweb.org/anthology/P19-1023.pdf,P19-1023,https://vimeo.com/383991196,/anthology/P19-1023.bib,,
https://www.aclweb.org/anthology/P19-1024.pdf,P19-1024,https://vimeo.com/383992004,/anthology/P19-1024.bib,,
https://www.aclweb.org/anthology/P19-1025.pdf,P19-1025,https://vimeo.com/384535650,/anthology/P19-1025.bib,,
https://www.aclweb.org/anthology/P19-1026.pdf,P19-1026,https://vimeo.com/383993749,/anthology/P19-1026.bib,,
https://www.aclweb.org/anthology/P19-1027.pdf,P19-1027,https://vimeo.com/383996634,/anthology/P19-1027.bib,,
https://www.aclweb.org/anthology/P19-1028.pdf,P19-1028,https://vimeo.com/383997156,/anthology/P19-1028.bib,,
https://www.aclweb.org/anthology/P19-1029.pdf,P19-1029,https://vimeo.com/383997816,/anthology/P19-1029.bib,,
https://www.aclweb.org/anthology/P19-1030.pdf,P19-1030,https://vimeo.com/384000960,/anthology/P19-1030.bib,,
https://www.aclweb.org/anthology/P19-1031.pdf,P19-1031,https://vimeo.com/385244938,/anthology/P19-1031.bib,,
https://www.aclweb.org/anthology/P19-1032.pdf,P19-1032,https://vimeo.com/384007585,/anthology/P19-1032.bib,,
https://www.aclweb.org/anthology/P19-1078.pdf,P19-1078,https://vimeo.com/384011409,/anthology/P19-1078.bib,,
https://www.aclweb.org/anthology/P19-1079.pdf,P19-1079,https://vimeo.com/384538335,/anthology/P19-1079.bib,,
https://www.aclweb.org/anthology/P19-1080.pdf,P19-1080,https://vimeo.com/384012798,/anthology/P19-1080.bib,,
https://www.aclweb.org/anthology/P19-1082.pdf,P19-1082,https://vimeo.com/384022866,/anthology/P19-1082.bib,,
https://www.aclweb.org/anthology/P19-1083.pdf,P19-1083,https://vimeo.com/384033466,/anthology/P19-1083.bib,,
https://www.aclweb.org/anthology/P19-1084.pdf,P19-1084,https://vimeo.com/384034160,/anthology/P19-1084.bib,,https://www.aclweb.org/anthology/attachments/P19-1084.Presentation.pdf
https://www.aclweb.org/anthology/P19-1085.pdf,P19-1085,https://vimeo.com/384464771,/anthology/P19-1085.bib,,
https://www.aclweb.org/anthology/P19-1086.pdf,P19-1086,https://vimeo.com/384464867,/anthology/P19-1086.bib,,
https://www.aclweb.org/anthology/P19-1087.pdf,P19-1087,https://vimeo.com/384464957,/anthology/P19-1087.bib,,
https://www.aclweb.org/anthology/P19-1088.pdf,P19-1088,https://vimeo.com/384465038,/anthology/P19-1088.bib,,
https://www.aclweb.org/anthology/P19-1089.pdf,P19-1089,https://vimeo.com/384467269,/anthology/P19-1089.bib,,
https://www.aclweb.org/anthology/P19-1090.pdf,P19-1090,https://vimeo.com/384467375,/anthology/P19-1090.bib,,
https://www.aclweb.org/anthology/P19-1091.pdf,P19-1091,https://vimeo.com/384467425,/anthology/P19-1091.bib,,
https://www.aclweb.org/anthology/P19-1092.pdf,P19-1092,https://vimeo.com/384467509,/anthology/P19-1092.bib,,
https://www.aclweb.org/anthology/P19-1093.pdf,P19-1093,https://vimeo.com/384469154,/anthology/P19-1093.bib,,
https://www.aclweb.org/anthology/P19-1094.pdf,P19-1094,https://vimeo.com/384469239,/anthology/P19-1094.bib,,
