Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/P15-1034.pdf,P15-1034,http://techtalks.tv/talks/leveraging-linguistic-structure-for-open-domain-information-extraction/61743/,/anthology/P15-1034.bib,,
https://www.aclweb.org/anthology/P15-1035.pdf,P15-1035,http://techtalks.tv/talks/joint-ie-and-reasoning-a-statistical-relational-learning-approach/61744/,/anthology/P15-1035.bib,,
https://www.aclweb.org/anthology/P15-1036.pdf,P15-1036,http://techtalks.tv/talks/a-knowledge-intensive-model-for-prepositional-phrase-attachment/61745/,/anthology/P15-1036.bib,,
https://www.aclweb.org/anthology/P15-1037.pdf,P15-1037,http://techtalks.tv/talks/a-convolution-kernel-approach-to-identifying-comparisons-in-text/61746/,/anthology/P15-1037.bib,,
https://www.aclweb.org/anthology/P15-1038.pdf,P15-1038,http://techtalks.tv/talks/it-depends-dependency-parser-comparison-using-a-web-based-evaluation-tool/61693/,/anthology/P15-1038.bib,,
https://www.aclweb.org/anthology/P15-1039.pdf,P15-1039,http://techtalks.tv/talks/generating-high-quality-proposition-banks-for-multilingual-semantic-role-labeling/61694/,/anthology/P15-1039.bib,,
https://www.aclweb.org/anthology/P15-1040.pdf,P15-1040,http://techtalks.tv/talks/aligning-opinions-cross-lingual-opinion-mining-with-dependencies/61702/,/anthology/P15-1040.bib,,
https://www.aclweb.org/anthology/P15-1041.pdf,P15-1041,http://techtalks.tv/talks/learning-to-adapt-credible-knowledge-in-cross-lingual-sentiment-analysis/61703/,/anthology/P15-1041.bib,,
https://www.aclweb.org/anthology/P15-1042.pdf,P15-1042,http://techtalks.tv/talks/learning-bilingual-sentiment-word-embeddings-for-cross-language-sentiment-classification/61704/,/anthology/P15-1042.bib,,
https://www.aclweb.org/anthology/P15-1043.pdf,P15-1043,http://techtalks.tv/talks/content-models-for-survey-generation-a-factoid-based-evaluation/61717/,/anthology/P15-1043.bib,,
https://www.aclweb.org/anthology/P15-1044.pdf,P15-1044,http://techtalks.tv/talks/training-a-natural-language-generator-from-unaligned-data/61718/,/anthology/P15-1044.bib,,
https://www.aclweb.org/anthology/P15-1045.pdf,P15-1045,http://techtalks.tv/talks/event-driven-headline-generation/61719/,/anthology/P15-1045.bib,,
https://www.aclweb.org/anthology/P15-1046.pdf,P15-1046,http://techtalks.tv/talks/new-transfer-learning-techniques-for-disparate-label-sets/61732/,/anthology/P15-1046.bib,,
https://www.aclweb.org/anthology/P15-1047.pdf,P15-1047,http://techtalks.tv/talks/matrix-factorization-with-knowledge-graph-propagation-for-unsupervised-spoken-language-understanding/61733/,/anthology/P15-1047.bib,,https://www.aclweb.org/anthology/attachments/P15-1047.Presentation.pdf
https://www.aclweb.org/anthology/P15-1048.pdf,P15-1048,http://techtalks.tv/talks/efficient-disfluency-detection-with-transition-based-parsing/61734/,/anthology/P15-1048.bib,,
https://www.aclweb.org/anthology/P15-1049.pdf,P15-1049,http://techtalks.tv/talks/smart-novel-tree-based-structured-learning-algorithms-applied-to-tweet-entity-linking/61747/,/anthology/P15-1049.bib,,
https://www.aclweb.org/anthology/P15-1050.pdf,P15-1050,http://techtalks.tv/talks/entity-retrieval-via-entity-factoid-hierarchy/61750/,/anthology/P15-1050.bib,,
https://www.aclweb.org/anthology/P15-1121.pdf,P15-1121,http://techtalks.tv/talks/machine-comprehension-with-discourse-relations/61766/,/anthology/P15-1121.bib,,
https://www.aclweb.org/anthology/P15-1122.pdf,P15-1122,http://techtalks.tv/talks/implicit-role-linking-on-chinese-discourse-exploiting-explicit-roles-frame-to-frame-relations/61767/,/anthology/P15-1122.bib,,
https://www.aclweb.org/anthology/P15-1123.pdf,P15-1123,http://techtalks.tv/talks/discourse-sensitive-automatic-identification-of-generic-expressions/61768/,/anthology/P15-1123.bib,,
https://www.aclweb.org/anthology/P15-1124.pdf,P15-1124,http://techtalks.tv/talks/model-based-word-embeddings-from-decompositions-of-count-matrices/61791/,/anthology/P15-1124.bib,,
https://www.aclweb.org/anthology/P15-1125.pdf,P15-1125,http://techtalks.tv/talks/entity-hierarchy-embedding/61792/,/anthology/P15-1125.bib,https://www.aclweb.org/anthology/attachments/P15-1125.Notes.pdf,
