Paper URL,Paper ID,Video_Presentation,bib,Supplentary,Slides_Presentation
https://www.aclweb.org/anthology/Q13-1002.pdf,Q13-1002,https://techtalks.tv/talks/tacl-finding-optimal-1-endpoint-crossing-trees/58443/,/anthology/Q13-1002.bib,,
https://www.aclweb.org/anthology/Q13-1005.pdf,Q13-1005,https://techtalks.tv/talks/tacl-weakly-supervised-learning-of-semantic-parsers-for-mapping-instructions-to-actions/58484/,/anthology/Q13-1005.bib,,
https://www.aclweb.org/anthology/Q13-1006.pdf,Q13-1006,https://techtalks.tv/talks/tacl-unsupervised-dependency-parsing-with-acoustic-cues/58509/,/anthology/Q13-1006.bib,,
https://www.aclweb.org/anthology/Q13-1007.pdf,Q13-1007,https://techtalks.tv/talks/tacl-an-hdp-model-for-inducing-combinatory-categorial-grammars/58520/,/anthology/Q13-1007.bib,,
https://www.aclweb.org/anthology/Q13-1019.pdf,Q13-1019,https://techtalks.tv/talks/tacl-modeling-semantic-relations-expressed-by-prepositions/58504/,/anthology/Q13-1019.bib,,
